tnum	tval	tname	tplateau
58	51	Green Data Center	Two_to_five_years
58	51	IMC-Enabled Application Infrastructure	Two_to_five_years
58	51	Private Cloud Computing	Two_to_five_years
58	51	Private IaaS	Two_to_five_years
58	51	SOA Backplane	Two_to_five_years
59	46	BPM-Enabled BPO	Two_to_five_years
59	46	Business Process Management Suites	Two_to_five_years
59	46	Enterprise Key Management	Five_to_10_years
59	46	Frameworx ? an Evolution of NGOSS	Two_to_five_years
59	46	Master Data Management	Five_to_10_years
59	46	Sentiment Analysis	Two_to_five_years
59	46	Sentiment Analysis	Two_to_five_years
59	46	Telecom Analytics	Two_to_five_years
59	46	VM Energy Management Tools	Less_than_two_years
61	40	Externalized Authorization Management	Two_to_five_years
61	40	In-Memory Data Grids	Two_to_five_years
61	40	Multichannel Order Fulfillment	Five_to_10_years
61	40	Real-Time Infrastructure	Five_to_10_years
61	40	Solid-State Arrays	Two_to_five_years
63	35	Eye Tracking ? Automotive	Five_to_10_years
63	35	IT Service Dependency Mapping	Five_to_10_years
63	35	Identity Analytics and Intelligence	Five_to_10_years
63	35	Semantic Web	Five_to_10_years
63	35	Social Analytics	Two_to_five_years
63	35	Storage Cluster File Systems	Five_to_10_years
63	35	Virtualization Software Licensing	Five_to_10_years
66	29	Complex-Event Processing Software Platforms	Two_to_five_years
66	29	Configuration Auditing	Two_to_five_years
66	29	MRM: Planning and Financial Management	Two_to_five_years
66	29	Public Cloud Storage	Two_to_five_years
66	29	Server Provisioning and Configuration Management	Five_to_10_years
66	29	Video Analytics	Two_to_five_years
68	26	Advanced Server Energy Monitoring Tools	Less_than_two_years
68	26	Business Process Management for U.S. Healthcare Payers	Five_to_10_years
68	26	Business Rule Management Systems	Two_to_five_years
68	26	Cloud Office Systems	Two_to_five_years
68	26	"Configure, Price, Quote Application Suites"	Two_to_five_years
68	26	Data Integration Tool Suites	Five_to_10_years
68	26	Mobile BI	Two_to_five_years
68	26	Next-Generation Service Delivery Platforms	Two_to_five_years
68	26	OpenFlow	Two_to_five_years
73	20	Accountable Care Organization	Five_to_10_years
73	20	Automatic Storage Tiering	Two_to_five_years
73	20	Embedded Software and Electronics Design	Five_to_10_years
73	20	HIE	Five_to_10_years
73	20	Linux on RISC	Two_to_five_years
73	20	MRM SaaS	Less_than_two_years
73	20	Master Data Management for Consumer Goods	More_than_10_years
73	20	Process Metrics and Measurement	Five_to_10_years
73	20	Storage Cluster File Systems	Five_to_10_years
73	20	Storage Multitenancy	Two_to_five_years
73	20	Talent Management Suites	Two_to_five_years
73	20	Video Visits	Five_to_10_years
78	15	Application Security Professional Services	Five_to_10_years
78	15	E-Discovery Software	Five_to_10_years
78	15	Finance and Accounting BPO	Two_to_five_years
78	15	Multichannel Order Management	Five_to_10_years
83	13	Business Service Management Tools	More_than_10_years
83	13	CIM-Driven Integration Standards	Five_to_10_years
83	13	Fibre Channel Over Ethernet	Two_to_five_years
83	13	"Infrastructure Outsourcing Services, India"	Two_to_five_years
83	13	Multiechelon Inventory Optimization	Two_to_five_years
83	13	Multinode Servers	Two_to_five_years
83	13	Multisourcing Service Integrator	Two_to_five_years
83	13	Performance Appraisal/Assessment	Two_to_five_years
83	13	Service-Oriented Architecture in OSS/BSS and SDP	Two_to_five_years
88	14	BYOD	Two_to_five_years
88	14	Integrated Clinical/Business Enterprise Data Warehouse	Five_to_10_years
88	14	Text Analytics	Two_to_five_years
88	14	Workforce Resilience	Two_to_five_years
93	16	Advanced Clinical Research Information Systems	Two_to_five_years
93	16	Cloud HPC/CaaS	Two_to_five_years
93	16	Data Center Container Solutions	Two_to_five_years
93	16	IAM Managed Services	Five_to_10_years
93	16	IT Asset Management Tools	Two_to_five_years
93	16	MRM: Creative Production Management	Less_than_two_years
93	16	Manufacturing Network Design	Two_to_five_years
93	16	Multichannel Master Data Management for Retail	More_than_10_years
93	16	OpenID	Obsolete_before_Plateau
97	18	Customer Analytics BPO	Two_to_five_years
97	18	DMZ Virtualization	Two_to_five_years
97	18	Desktop Virtualization	Two_to_five_years
97	18	Distributed Versioning	Two_to_five_years
97	18	Endpoint Protection Platform	Two_to_five_years
97	18	Enterprise Social Networking Applications	Two_to_five_years
97	18	Functional Business Process Outsourcing	Two_to_five_years
97	18	Silicon Photonics	Two_to_five_years
97	18	System-on-Package	Two_to_five_years
100	20	Campaign Segmentation	Two_to_five_years
100	20	Content Integration	Obsolete_before_Plateau
100	20	Context-Aware Security	Less_than_two_years
100	20	Customer Best Next Action	Less_than_two_years
100	20	Enterprise Cloud Email	Two_to_five_years
100	20	Federated SOA	Two_to_five_years
100	20	Gaze Control	Five_to_10_years
100	20	In-Memory Analytics	Less_than_two_years
100	20	In-Store Self-Service: Customer-Facing Applications	Two_to_five_years
100	20	Indirect Procurement BPO	Two_to_five_years
100	20	MDM of Customer Data	Two_to_five_years
100	20	Next-Generation IPS	Less_than_two_years
100	20	Open-Source Virtualization Platforms	Two_to_five_years
100	20	Operational Risk Management	Two_to_five_years
100	20	Patient Self-Service Kiosks	Five_to_10_years
