r	c	color	word
1	1	1	안좋다
1	2	2	즐겁다
1	3	3	화끈거린다
1	4	101	없음
1	5	5	유감스럽다, 짜증난다, 뿌듯하다
1	6	6	다정하다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	신난다, 신난다, 흐뭇하다
2	1	101	없음
2	2	101	없음
2	3	13	속상하다
2	4	14	의기양양하다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	의기양양하다, 의기양양하다
3	1	101	없음
3	2	22	당당하다, 당당하다
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	28	선하다, 선하다
3	9	101	없음
3	10	30	노박하다
4	1	101	없음
4	2	101	없음
4	3	33	자신감을느낀다
4	4	101	없음
4	5	101	없음
4	6	36	우습다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	약오르다
5	6	46	밉다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	속이썩는것같다
6	1	51	화난다
6	2	101	없음
6	3	53	놀라다
6	4	54	춥다, 골치아프다
6	5	55	불만이다, 산뜻하다
6	6	56	숨막힌다, 평화롭다, 시원하다
6	7	101	없음
6	8	58	고맙다
6	9	101	없음
6	10	60	당황스럽다, 개운하다, 생기있다
7	1	61	착잡하다, 착잡하다, 불안하다
7	2	101	없음
7	3	63	멍해진다
7	4	64	막막하다
7	5	101	없음
7	6	101	없음
7	7	67	안전하다
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	86	평화롭다, 불안하다
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	90	조심스럽다
10	1	91	답답하다, 괴롭다
10	2	92	캄캄하다
10	3	93	캄캄하다
10	4	101	없음
10	5	95	꼬였다, 외롭다, 울적하다, 담담하다
10	6	96	지겹다
10	7	101	없음
10	8	98	거부감이든다
10	9	99	꼬였다, 꼬였다
10	10	100	놀라다, 안전하다
