tnum	tval	tname	tplateau
17	23	Consumer Telepresence	Obsolete_before_Plateau
17	23	Mobile Transphones	Five_to_10_years
18	28	3D TV Services	More_than_10_years
19	33	Car Connectivity Consortium	Five_to_10_years
21	43	Social TV	Five_to_10_years
30	88	Smart Appliances	Five_to_10_years
32	93	Broadband-Connected Televisions	Five_to_10_years
35	98	OLED Screens for PCs	Two_to_five_years
40	100	3D LCDs	Two_to_five_years
50	90	Solar Power Mobile Devices	Five_to_10_years
52	83	Mobile WLAN Access Points	Two_to_five_years
57	56	Connected TVs	Two_to_five_years
83	13	Basic Communication Devices and Open OS	Two_to_five_years
88	14	Pagewide-Array Office Inkjet Printing	Two_to_five_years
119	32	Open-Source Communications	Less_than_two_years
156	55	Blu-ray Devices for Consumers	Less_than_two_years
