tnum	tval	tname	tplateau
1	5	Virtual Personal Assistants	5 to 10 years
5	25	Connected Home	5 to 10 years
21	100	Natural-Language Question Answering	5 to 10 years
50	40	Gesture Control	2 to 5 years
65	50	Consumer Telematics	5 to 10 years
72	52	Speech Recognition	less than 2 years
83	54	
