tnum	tval	tname	tplateau
6	5	Digital Security	5 to 10 years
13	25	Connected Home	5 to 10 years
20	50	Smart Robots	5 to 10 years
28	90	Autonomous  Vechicles	5 to 10 years
38	95	Wearable User Interfaces	5 to 10 years
49	40	Augmented Reality	5 to 10 years
58	20	Cloud Computing	2 to 5 years
73	25	Gesture Control	2 to 5 years
79	30	Activity Streams	2 to 5 years
125	45	Consumer Telematics	5 to 10 years
133	47	Speech Recognition	less than 2 years
150	51		
