r	c	color	word
1	1	1	무섭다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	흡족하다, 놀랍다
2	1	11	캄캄하다
2	2	101	없음
2	3	101	없음
2	4	14	착잡하다
2	5	15	무시무시하다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	반했다, 쾌활하다
3	1	21	당황스럽다
3	2	101	없음
3	3	23	안좋다
3	4	24	긴장하다
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	안전하다
4	1	101	없음
4	2	32	거부감이든다
4	3	33	좋다, 활기차다
4	4	101	없음
4	5	35	비참하다, 훈훈하다
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	39	기쁘다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	43	가슴이답답하다
5	4	44	개운하다
5	5	45	구역질난다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	시원하다
6	2	101	없음
6	3	53	산뜻하다, 안심된다, 불안하다, 명량하다, 아름답다
6	4	54	귀찮다, 짜릿하다
6	5	55	시원하다, 시원하다
6	6	101	없음
6	7	57	생기있다
6	8	101	없음
6	9	59	멋있다
6	10	60	순수하다
7	1	101	없음
7	2	62	먹먹하다
7	3	63	평온하다
7	4	64	긴장하다
7	5	65	흡족하다
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	72	막막하다
8	3	101	없음
8	4	74	무시무시하다
8	5	101	없음
8	6	76	감사함을느낀다
8	7	101	없음
8	8	78	편안하다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	82	놀라다
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	서운하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	먹먹하다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
