r	c	color	word
1	1	1	창피하다, 온화하다, 화끈거린다
1	2	2	생기있다, 안좋다, 아프다
1	3	3	안좋다, 당혹스럽다
1	4	101	없음
1	5	5	날아갈듯하다, 골치가아프다, 안좋다
1	6	6	속이끓는다
1	7	7	주눅이들다
1	8	101	없음
1	9	101	없음
1	10	10	날아갈듯하다, 반갑다, 아름답다, 산뜻하다
2	1	101	없음
2	2	101	없음
2	3	13	명랑하다
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	편안하다, 편안하다
3	1	101	없음
3	2	101	없음
3	3	23	짜증난다
3	4	24	피가끓어오른다
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	평온하다, 생기있다, 활기차다
4	1	31	심술난다
4	2	101	없음
4	3	33	숨막힌다
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	37	평온하다
4	8	38	불안하다
4	9	101	없음
4	10	40	상큼하다, 신난다
5	1	41	저주스럽다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	당혹스럽다
5	7	47	어이없다
5	8	48	편안하다, 안타깝다
5	9	101	없음
5	10	50	순수하다, 긴장된다, 유쾌하다
6	1	51	자신있다
6	2	101	없음
6	3	53	자유스럽다, 유쾌하다
6	4	54	멋있다, 산뜻하다, 편안하다
6	5	55	씩씩하다, 신난다, 의기양양하다, 시원하다
6	6	56	상큼하다, 생기있다
6	7	101	없음
6	8	58	편안하다
6	9	101	없음
6	10	60	보기좋다, 신난다
7	1	101	없음
7	2	62	안전하다, 평화롭다
7	3	63	서운하다
7	4	64	시원하다, 자랑스럽다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	74	활기차다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	자유스럽다, 명랑하다, 온화하다
8	9	79	혼란스럽다
8	10	80	시원하다, 걱정스럽다
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	평화롭다
9	8	101	없음
9	9	89	안전하다
9	10	101	없음
10	1	101	없음
10	2	92	평온하다
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	관대하다
