r	c	color	word
1	1	1	멋있다, 짜릿하다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	의기양양하다, 어이없다, 흥겹다
1	6	6	좋다
1	7	7	흥겹다
1	8	8	긴장을느낀다, 안전하다, 흥겹다
1	9	9	훈훈하다
1	10	10	마음이열린다, 쾌활하다, 평온하다, 놀라다, 자유스럽다, 기분좋다, 유쾌하다
2	1	11	유쾌하다, 자유롭다
2	2	12	편안하다
2	3	13	구역질이난다
2	4	14	자신감을느낀다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	18	유쾌하다
2	9	19	활기차다
2	10	20	마음이넓다
3	1	101	없음
3	2	22	겁에질리다
3	3	23	생기있다
3	4	101	없음
3	5	25	놀랍다
3	6	26	보기좋다
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	편안하다
4	1	101	없음
4	2	101	없음
4	3	33	겁에질리다
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	39	귀찮다
4	10	101	없음
5	1	41	처참하다
5	2	42	흥겹다
5	3	43	산뜻하다
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	47	그립다
5	8	101	없음
5	9	101	없음
5	10	50	당당하다
6	1	51	긴장을느낀다
6	2	52	기분좋다
6	3	53	소름끼치다, 자유스럽다, 쓰리다
6	4	54	활발하다, 좋다, 개운하다, 시원하다, 편안하다
6	5	55	관대하다, 시원하다
6	6	56	상큼하다, 생기있다
6	7	57	활기차다, 편안하다
6	8	58	편안하다, 좋다
6	9	101	없음
6	10	60	관대하다, 평화롭다
7	1	101	없음
7	2	62	평온하다
7	3	63	든든하다, 평화롭다
7	4	64	멋있다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	자유스럽다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	82	무섭다
9	3	101	없음
9	4	101	없음
9	5	85	캄캄하다
9	6	101	없음
9	7	101	없음
9	8	88	불안하다
9	9	89	안전하다
9	10	101	없음
10	1	91	부담스럽다, 구역질이나다
10	2	92	산뜻하다, 평화롭다
10	3	93	유쾌하다
10	4	94	보기좋다
10	5	101	없음
10	6	101	없음
10	7	97	마음이넓다
10	8	101	없음
10	9	101	없음
10	10	100	골치아프다
