r	c	color	word
1	1	1	흥겹다
1	2	101	없음
1	3	101	없음
1	4	4	기분좋다
1	5	5	의기양양하다, 당혹스럽다
1	6	6	놀랍다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	101	없음
2	1	101	없음
2	2	12	골치아프다, 불쾌하다
2	3	13	활발하다
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	쓰리다
2	10	101	없음
3	1	21	괴롭다
3	2	101	없음
3	3	23	성질난다, 신난다
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	101	없음
3	10	30	유쾌하다, 평온하다, 반했다
4	1	101	없음
4	2	32	열받는다, 따뜻함을느낀다
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	38	착잡하다
4	9	101	없음
4	10	101	없음
5	1	41	멋쩍다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	답답하다
5	6	46	온화하다, 짜증난다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	50	미치겠다, 활기차다
6	1	51	울적하다, 쓸쓸하다
6	2	101	없음
6	3	53	어이없다
6	4	54	평온하다
6	5	55	쾌활하다, 시원하다, 평화롭다
6	6	56	따뜻함을느낀다, 생기있다, 자랑스럽다, 안전하다
6	7	57	흥겹다
6	8	58	멋지다
6	9	59	긴장하다
6	10	60	자신있다
7	1	101	없음
7	2	101	없음
7	3	101	없음
7	4	101	없음
7	5	101	없음
7	6	66	살맛난다
7	7	101	없음
7	8	68	평온하다
7	9	101	없음
7	10	70	좋다
8	1	71	놀랍다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	짜증난다, 자신있다
9	1	81	조바심이나다
9	2	101	없음
9	3	101	없음
9	4	84	찜찜하다
9	5	101	없음
9	6	86	고맙다
9	7	87	비참하다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	마음이무겁다, 캄캄하다, 걱정스럽다, 당황스럽다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	95	괴롭다, 우울하다, 당혹스럽다
10	6	96	순수하다, 막막하다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	압박감이들다, 떫다
