r	c	color	word
1	1	101	없음
1	2	2	사랑스럽다
1	3	101	없음
1	4	101	없음
1	5	5	따스하다, 애착이간다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	9	기분좋다
1	10	10	기쁘다, 짜증난다, 안전하다, 좋다
2	1	11	기쁘다
2	2	101	없음
2	3	101	없음
2	4	14	마음이가볍다
2	5	15	평온하다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	따뜻함을느낀다, 평화롭다
2	10	20	뿌듯하다
3	1	21	사랑을느낀다, 힘들다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	26	신난다
3	7	27	흥겹다
3	8	101	없음
3	9	101	없음
3	10	101	없음
4	1	101	없음
4	2	32	찜찜하다
4	3	101	없음
4	4	34	따뜻하다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	101	없음
5	2	42	긴장을느낀다
5	3	101	없음
5	4	101	없음
5	5	45	괴롭다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	101	없음
6	2	52	막막하다
6	3	101	없음
6	4	54	자신있다, 다급하다, 싸늘하다, 아름답다
6	5	101	없음
6	6	56	평화롭다
6	7	101	없음
6	8	58	행복하다
6	9	101	없음
6	10	101	없음
7	1	61	우울하다, 섭섭하다
7	2	101	없음
7	3	101	없음
7	4	64	상쾌하다, 당당하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	71	걱정스럽다
8	2	101	없음
8	3	73	씁쓸하다
8	4	74	신경질난다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	관대하다
9	1	81	밉다
9	2	82	멍해진다
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	86	혼란스럽다, 평화롭다
9	7	87	씩씩하다
9	8	101	없음
9	9	101	없음
9	10	90	아련하다
10	1	91	편안하다, 귀찮다
10	2	92	안좋다
10	3	93	괴롭다, 후회스럽다
10	4	101	없음
10	5	95	쓰리다
10	6	96	평온하다
10	7	97	착잡하다, 관대하다, 긴장을느낀다
10	8	98	자신있다
10	9	101	없음
10	10	100	거부감이든다
