r	c	color	word
1	1	1	끔찍하다, 거부감이든다, 따뜻함을느낀다, 쾌활하다
1	2	2	뿌듯하다
1	3	101	없음
1	4	101	없음
1	5	5	흡족하다
1	6	101	없음
1	7	101	없음
1	8	8	좋다
1	9	101	없음
1	10	10	토할것같다, 화난다, 감미롭다, 피가끓어오른다
2	1	101	없음
2	2	101	없음
2	3	13	혼란스럽다, 활발하다
2	4	14	짜릿하다
2	5	101	없음
2	6	101	없음
2	7	17	산뜻하다
2	8	101	없음
2	9	101	없음
2	10	20	사랑을느낀다, 산뜻하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	자유롭다
3	8	28	자신있다
3	9	101	없음
3	10	101	없음
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	흥분된다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	귀찮다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	쌀쌀하다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	101	없음
6	2	101	없음
6	3	53	자유롭다
6	4	54	명량하다, 편안하다, 신난다, 마련하다, 울적이다, 따뜻함을느낀다, 기분좋다
6	5	55	평온하다, 산뜻하다, 안심된다, 안심된다, 만족스럽다, 즐겁다
6	6	56	울적하다, 명량하다
6	7	57	분통이터진다
6	8	58	소외감을느끼다
6	9	59	행복하다
6	10	60	숨막히다, 편안하다, 안전하다
7	1	101	없음
7	2	101	없음
7	3	101	없음
7	4	64	자신감을느낀다, 시원하다
7	5	101	없음
7	6	66	감격스럽다
7	7	67	불안하다, 기분이묘하다, 평화롭다
7	8	68	보기좋다, 어지럽다
7	9	101	없음
7	10	101	없음
8	1	71	처참하다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	76	의심스럽다
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	81	평온하다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	아리송하다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	착잡하다, 캄캄하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	답답하다, 생기있다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
