r	c	color	word
1	1	1	편안하다, 좋다
1	2	2	자유스럽다, 신난다
1	3	101	없음
1	4	101	없음
1	5	5	신난다, 보기좋다, 어이없다, 다정하다
1	6	101	없음
1	7	101	없음
1	8	8	뿌듯하다
1	9	9	온화하다
1	10	10	편안하다, 활기차다, 평화롭다, 자신있다, 신난다
2	1	11	피가끓어오른다, 시원하다
2	2	101	없음
2	3	101	없음
2	4	14	반갑다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	안심된다, 평화롭다
3	1	21	멋쩍다, 평화롭다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	다정하다, 유쾌하다
3	8	28	좋다
3	9	101	없음
3	10	30	산뜻하다
4	1	31	놀라다
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	35	마음이가볍다
4	6	36	즐겁다
4	7	37	보기좋다, 자유스럽다
4	8	101	없음
4	9	101	없음
4	10	40	평온하다
5	1	41	흡족하다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	뿌듯하다
5	6	46	평화롭다, 신난다
5	7	47	활기차다
5	8	48	생기있다, 편안하다, 귀찮다, 기분좋다
5	9	101	없음
5	10	50	의기양양하다
6	1	101	없음
6	2	101	없음
6	3	53	자신있다, 편안하다
6	4	54	멋있다, 자유스럽다, 자신감을느낀다, 평온하다, 시원하다
6	5	55	이상하다, 보기좋다, 부럽다, 신난다, 시원하다, 평온하다
6	6	56	순수하다
6	7	57	상큼하다
6	8	58	생기있다
6	9	101	없음
6	10	60	멍해진다, 쾌활하다, 자유스럽다
7	1	101	없음
7	2	101	없음
7	3	63	든든하다
7	4	64	활기차다
7	5	65	쓰리다
7	6	66	살맛난다
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	101	없음
8	1	71	활기차다
8	2	101	없음
8	3	73	자유스럽다
8	4	74	유쾌하다
8	5	75	의기양양하다
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	80	만족스럽다
9	1	81	평화롭다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	87	유쾌하다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	101	없음
10	2	92	안전하다
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	소박하다
10	7	101	없음
10	8	98	유쾌하다
10	9	101	없음
10	10	101	없음
